Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
B1,11/12/15,Westerlo,Genk,,,,,,,3.75,3.8,1.85,4.1,3.5,1.85,3.6,3.3,2,3.8,3.6,1.85,4.23,3.8,1.9,3.4,3.4,2,4,3.75,1.87,50,4.3,3.93,3.8,3.58,2,1.88,44,1.83,1.76,2.11,2.02,29,0.5,2.03,1.96,1.92,1.86
B1,12/12/15,Charleroi,Oud-Heverlee Leuven,,,,,,,1.8,3.75,4.2,1.75,3.8,4.2,1.8,3.5,4.2,1.8,3.6,4.33,1.81,3.86,4.7,1.8,3.5,4,1.8,3.8,4.33,50,1.82,1.77,3.95,3.67,4.75,4.3,44,1.85,1.77,2.09,2.01,28,-0.75,2.09,2,1.9,1.81
B1,12/12/15,Kortrijk,Mouscron-Peruwelz,,,,,,,1.75,3.75,4.33,1.8,3.7,4.5,1.75,3.5,4.5,1.75,3.5,4.5,1.81,3.71,4.95,1.73,3.4,4.6,1.8,3.6,4.6,49,1.81,1.76,3.9,3.56,5.02,4.55,44,2.1,2.02,1.83,1.75,28,-0.75,2.09,2.01,1.89,1.81
B1,12/12/15,Mechelen,Lokeren,,,,,,,2,3.3,3.8,2,3.5,3.5,2,3.3,3.6,1.95,3.4,3.75,2.04,3.58,3.92,2.05,3.25,3.4,2,3.5,3.8,50,2.05,1.99,3.58,3.39,3.93,3.68,45,2.06,1.97,1.88,1.81,28,-0.5,2.04,1.97,1.91,1.85
B1,12/12/15,Waregem,Waasland-Beveren,,,,,,,1.57,4,5.5,1.62,4,5.5,1.55,3.9,5.6,1.6,4,5.25,1.62,4.28,5.78,1.62,3.8,4.8,1.6,4.2,5.4,50,1.65,1.59,4.28,3.99,5.78,5.3,37,1.65,1.62,2.33,2.22,30,-1,2.15,2.01,1.87,1.81
B1,13/12/15,Anderlecht,Oostende,,,,,,,1.45,4.5,6.5,1.44,4.5,6.5,1.45,4,7,1.48,4.2,6.5,1.5,4.55,7.25,1.5,4.2,5.5,1.5,4.4,6.5,50,1.52,1.47,4.55,4.31,7.25,6.38,40,1.74,1.67,2.25,2.13,30,-1,1.87,1.8,2.11,2.03
B1,13/12/15,St Truiden,Gent,,,,,,,4.75,3.5,1.75,4.5,3.7,1.8,4.2,3.5,1.8,4.33,3.6,1.8,4.71,3.87,1.8,4,3.5,1.8,4.4,3.8,1.8,49,4.75,4.38,3.87,3.65,1.83,1.76,44,1.91,1.79,2.07,1.98,28,0.75,1.88,1.83,2.06,1.99
B1,13/12/15,Standard,Club Brugge,,,,,,,3.2,3.4,2.2,3,3.4,2.25,2.9,3.3,2.3,3.1,3.4,2.25,3.2,3.62,2.29,2.88,3.4,2.25,3.1,3.5,2.25,49,3.2,3.04,3.63,3.41,2.3,2.23,45,1.84,1.75,2.13,2.03,28,0.25,1.92,1.87,2,1.94
D1,11/12/15,Mainz,Stuttgart,,,,,,,2.05,3.6,3.5,2.1,3.3,3.4,2.1,3.3,3.3,2,3.5,3.5,2.08,3.77,3.65,2.1,3.6,3.1,2.1,3.75,3.4,48,2.1,2.06,3.8,3.58,3.66,3.45,40,1.67,1.62,2.4,2.27,28,-0.5,2.11,2.06,1.87,1.82
D1,12/12/15,Bayern Munich,Ingolstadt,,,,,,,1.07,13,29,1.08,11,31,1.1,8,20,1.09,11,41,1.09,13,37,1.08,10,34,1.07,12,36,48,1.1,1.08,13.13,10.86,60,35.2,36,1.43,1.4,3,2.85,30,-2.5,1.91,1.85,2.08,2.01
